2024/06/07 20:31:52 config ../../config/config_node.yaml: {Address:localhost Port:5002 RaftId:node_name2 RaftDir:data RaftBootstrap:false Life:100 Players:[node_name1 node_name2 node_name3 node_name4]}
2024/06/07 20:31:52 10.30.19.58
2024-06-07T20:31:52.136-0700 [INFO]  raft: initial configuration: index=0 servers=[]
2024-06-07T20:31:52.136-0700 [INFO]  raft: entering follower state: follower="Node at 10.30.19.58:5002 [Follower]" leader-address= leader-id=
2024-06-07T20:31:54.078-0700 [WARN]  raft: no known peers, aborting election
2024-06-07T20:31:58.213-0700 [WARN]  raft: failed to get previous log: previous-index=5 last-index=0 error="log not found"
2024-06-07T20:32:18.972-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:21.015-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:23.063-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:25.132-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:27.142-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:29.180-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:31.224-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:33.254-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:35.303-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:37.341-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:39.385-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:41.415-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:43.476-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:45.512-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
2024-06-07T20:32:47.565-0700 [DEBUG] raft: lost leadership because received a requestVote with a newer term
